pdb,Experimental_DG,ICs_c_c,ICs_c_a,ICs_p_p,ICs_p_a,NIS_apolar,NIS_charged,BSA_Apolar,BSA_Polar,NIS_polar,ICs_hydrophilic_hydrophilic,ICs_hydrophilic_hydrophobic,ICs_hydrophobic_hydrophobic,Cdr_h1_len,Cdr_h2_len,Cdr_h3_len,Cdr_h3_aromatic_frac,Cdr_l1_len,Cdr_l2_len,Cdr_l3_len
3a67,-11.44,6.0,22.0,14.0,21.0,29.72,21.69,827.18,988.1,48.59,70.0,22.0,2.0,8.0,7.0,7.0,0.29,6.0,3.0,9.0
3a6b,-9.63,6.0,21.0,11.0,21.0,29.88,21.12,810.66,945.78,49.0,71.0,20.0,1.0,8.0,7.0,7.0,0.29,6.0,3.0,9.0
5grj,-14.15,3.0,21.0,4.0,12.0,37.08,22.49,1056.18,716.93,40.43,36.0,32.0,10.0,8.0,8.0,13.0,0.08,9.0,3.0,10.0
5kov,-11.91,3.0,7.0,3.0,32.0,33.07,22.31,916.78,838.86,44.62,36.0,31.0,8.0,8.0,7.0,11.0,0.27,6.0,3.0,9.0
1i8k,-10.44,2.0,5.0,6.0,17.0,32.73,25.45,576.16,592.83,41.82,27.0,22.0,6.0,8.0,8.0,13.0,0.23,6.0,3.0,9.0
3a6c,-11.28,5.0,23.0,11.0,21.0,30.28,21.12,824.67,944.85,48.61,71.0,22.0,2.0,8.0,7.0,7.0,0.29,6.0,3.0,9.0
1p4b,-13.94,4.0,15.0,0.0,4.0,37.79,19.19,884.16,373.58,43.02,15.0,18.0,10.0,8.0,7.0,7.0,0.29,9.0,3.0,9.0
3lhp,-15.17,1.0,8.0,3.0,27.0,39.15,29.07,1255.84,516.75,31.78,23.0,37.0,13.0,8.0,8.0,17.0,0.06,7.0,3.0,9.0
1dzb,-8.57,9.0,25.0,2.0,7.0,32.41,24.9,849.99,857.69,42.69,43.0,31.0,0.0,8.0,8.0,9.0,0.44,6.0,3.0,9.0
3fku,-13.48,1.0,11.0,8.0,15.0,32.91,26.51,882.51,585.29,40.59,22.0,26.0,10.0,8.0,8.0,17.0,0.12,8.0,3.0,11.0
3etb,-14.26,11.0,19.0,1.0,11.0,34.31,28.83,877.85,873.39,36.86,36.0,27.0,6.0,8.0,8.0,12.0,0.17,6.0,3.0,9.0
2uzi,-11.19,9.0,17.0,4.0,10.0,32.71,26.39,897.0,770.96,40.89,41.0,26.0,3.0,8.0,8.0,8.0,0.38,6.0,3.0,9.0
2aeq,-10.8,8.0,26.0,7.0,8.0,33.42,25.25,827.98,761.28,41.34,48.0,20.0,2.0,8.0,10.0,11.0,0.27,6.0,3.0,9.0
1nma,-10.8,1.0,12.0,9.0,18.0,32.63,24.41,674.49,796.11,42.96,32.0,21.0,6.0,8.0,8.0,15.0,0.27,6.0,3.0,9.0
2xtj,-11.39,3.0,13.0,1.0,16.0,40.67,22.32,882.13,824.96,37.0,26.0,30.0,13.0,8.0,8.0,24.0,0.25,6.0,3.0,8.0
3h3p,-10.71,1.0,4.0,4.0,21.0,39.57,20.32,985.87,432.36,40.11,18.0,28.0,9.0,8.0,8.0,18.0,0.11,7.0,3.0,9.0
3lh2,-11.25,1.0,3.0,3.0,22.0,45.85,18.78,1123.38,342.27,35.37,15.0,27.0,11.0,8.0,8.0,20.0,0.1,7.0,3.0,9.0
1jrh,-10.7,6.0,16.0,4.0,15.0,34.75,19.77,825.05,754.23,45.48,46.0,11.0,4.0,10.0,7.0,14.0,0.21,6.0,3.0,8.0
2aep,-10.8,9.0,25.0,6.0,8.0,33.18,25.84,860.84,945.79,40.98,53.0,19.0,1.0,8.0,10.0,11.0,0.27,6.0,3.0,9.0
