pdb,Experimental_DG,ICs_c_c,ICs_c_a,ICs_p_p,ICs_p_a,NIS_apolar,NIS_charged,BSA_Apolar,BSA_Polar,NIS_polar,ICs_hydrophilic_hydrophilic,ICs_hydrophilic_hydrophobic,ICs_hydrophobic_hydrophobic,Cdr_h1_len,Cdr_h2_len,Cdr_h3_len,Cdr_h3_aromatic_frac,Cdr_l1_len,Cdr_l2_len,Cdr_l3_len
3ifp,-10.38,10.0,19.0,0.0,2.0,34.35,22.19,512.52,567.03,43.47,20.0,18.0,5.0,10.0,7.0,15.0,0.27,11.0,3.0,9.0
3o6m,-9.89,6.0,18.0,0.0,3.0,36.61,22.62,751.31,451.79,40.77,25.0,16.0,1.0,8.0,8.0,10.0,0.3,11.0,3.0,9.0
3ifl,-11.01,10.0,14.0,0.0,4.0,33.43,21.88,593.32,512.4,44.68,25.0,14.0,3.0,10.0,7.0,12.0,0.25,11.0,3.0,9.0
2fx7,-10.5,1.0,2.0,3.0,19.0,38.79,20.69,1050.21,429.18,40.52,18.0,24.0,10.0,8.0,8.0,20.0,0.15,7.0,3.0,9.0
2fx9,-10.59,0.0,3.0,3.0,20.0,37.54,20.72,966.78,330.12,41.74,16.0,24.0,8.0,8.0,8.0,20.0,0.15,7.0,3.0,9.0
3ggw,-7.55,2.0,11.0,0.0,4.0,35.38,23.08,645.81,328.78,41.54,20.0,12.0,1.0,8.0,10.0,6.0,0.33,11.0,3.0,9.0
3g5v,-9.64,9.0,20.0,0.0,11.0,32.6,21.0,551.27,652.92,46.39,33.0,18.0,9.0,9.0,7.0,9.0,0.22,6.0,3.0,9.0
3eyf,-9.3,3.0,12.0,4.0,18.0,38.32,21.86,883.92,533.12,39.82,39.0,17.0,3.0,8.0,8.0,18.0,0.11,6.0,3.0,10.0
3ixt,-9.02,5.0,12.0,4.0,19.0,37.68,20.87,745.49,578.9,41.45,23.0,25.0,5.0,10.0,7.0,12.0,0.33,5.0,3.0,9.0
2fx8,-8.89,1.0,2.0,3.0,20.0,38.39,20.24,1001.67,343.14,41.37,15.0,26.0,10.0,8.0,8.0,20.0,0.15,7.0,3.0,9.0
3o6l,-9.93,9.0,21.0,3.0,7.0,35.82,23.28,799.68,643.09,40.9,37.0,20.0,2.0,8.0,8.0,10.0,0.3,11.0,3.0,9.0
1f90,-10.8,2.0,12.0,0.0,7.0,34.73,20.36,623.66,382.69,44.91,11.0,22.0,4.0,9.0,7.0,11.0,0.45,11.0,3.0,9.0
2or9,-8.6,3.0,5.0,2.0,5.0,36.96,23.5,172.81,369.0,39.54,13.0,5.0,0.0,8.0,8.0,20.0,0.4,10.0,3.0,9.0
2hfg,-12.57,1.0,15.0,0.0,21.0,38.69,20.24,1050.25,555.65,41.07,20.0,44.0,8.0,8.0,8.0,18.0,0.11,6.0,3.0,9.0
2hkf,-8.89,4.0,19.0,0.0,13.0,36.25,20.24,671.13,638.15,43.5,19.0,34.0,7.0,8.0,10.0,10.0,0.3,11.0,3.0,9.0
3g5y,-9.29,9.0,21.0,1.0,9.0,33.13,21.05,491.73,668.39,45.82,36.0,18.0,6.0,9.0,7.0,9.0,0.22,6.0,3.0,9.0
2eh8,-11.29,4.0,10.0,6.0,16.0,37.09,21.96,776.78,622.86,40.95,33.0,22.0,0.0,8.0,8.0,8.0,0.25,11.0,3.0,9.0
2a6i,-9.44,0.0,9.0,3.0,19.0,31.75,21.36,714.0,347.04,46.88,16.0,29.0,12.0,8.0,8.0,14.0,0.43,6.0,3.0,9.0
2qhr,-10.07,9.0,24.0,3.0,9.0,35.48,19.65,756.85,882.19,44.87,42.0,13.0,0.0,8.0,8.0,16.0,0.31,7.0,7.0,13.0
1n64,-12.12,0.0,8.0,4.0,22.0,37.04,21.65,890.92,484.92,41.31,9.0,39.0,21.0,8.0,8.0,11.0,0.27,12.0,3.0,9.0
3ghe,-8.03,4.0,15.0,0.0,6.0,38.71,18.77,949.93,629.58,42.52,16.0,30.0,6.0,8.0,8.0,22.0,0.36,9.0,3.0,11.0
2hrp,-11.32,5.0,12.0,0.0,6.0,38.48,22.45,726.43,463.33,39.07,21.0,23.0,2.0,8.0,8.0,18.0,0.22,10.0,3.0,9.0
2zpk,-7.95,0.0,4.0,3.0,11.0,39.56,18.38,546.69,414.85,42.06,15.0,19.0,4.0,8.0,8.0,9.0,0.22,9.0,3.0,9.0
